date,year,month,airline,published_airline,iata_code,geo_summary,geo_region,price_category,terminal,boarding_area,passenger_count
1999-11-01,1999,11,Alaska Airlines,Alaska Airlines,AS,International,Canada,Other,Terminal 2,D,5190
1999-11-01,1999,11,Alaska Airlines,Alaska Airlines,AS,International,Mexico,Other,Terminal 2,D,9831
1999-11-01,1999,11,Alitalia Airlines,Alitalia Airlines,AZ,International,Europe,Other,Terminal 2,D,3183
1999-11-01,1999,11,ANA,"All Nippon Company Airways, Ltd.",NH,International,Asia,Other,Terminal 2,D,4663
1999-11-01,1999,11,American Airlines,American Airlines,AA,Domestic,US,Other,Terminal 3,E,123378
1999-11-01,1999,11,Asiana Airlines,Asiana Airlines,OZ,International,Asia,Other,Terminal 2,D,3864
1999-11-01,1999,11,British Airways,British Airways,BA,International,Europe,Other,Terminal 2,D,11933
1999-11-01,1999,11,Canadian Airlines,Canadian Airlines,CP,International,Canada,Other,Terminal 3,E,4071
1999-11-01,1999,11,Cathay Pacific,Cathay Pacific,CX,International,Asia,Other,Terminal 2,D,6714
1999-11-01,1999,11,China Airlines,China Airlines,CI,International,Asia,Other,Terminal 2,D,7540
1999-11-01,1999,11,China Eastern,"China Eastern Airlines, Inc",,International,Asia,Other,Terminal 2,D,1205
